id,word,variant,homonym_num,part_of_speech,ru_definition
68,аайыгыйык,,0,interj,"ласкательное междометное слово, обращаемое к маленьким детям"
78,аакта,,0,noun,"письмо, документ, удостоверяющий что-либо, имеющее юридическую силу (обычно подписывается несколькими лицами)"
79,аактаа,,0,verb,"составлять, писать акт"
83,аал,,1,verb,"тереть, протирать (очищая, растирая, натирая)"
84,аал,,2,noun,"связанные вместе бревна, предназначенные для сплава леса или кратковременных перевозок, плот"
91,ааллаа,,0,verb,"сплавлять, соорудив плот"
92,ааллаах,,0,noun,"владелец плота, плотогон"
95,аалларыылаах,,0,adj,"тяжелый, неотвязчивый (о мыслях, думах)"
96,ааллас,,0,verb,"двигаться взад-вперед толпой, толпиться, разливаться, растекаться (о чем-либо обильном и мощном)"
98,ааллыы,,0,adv,"подобно плоту, плывущему по медленному течению (употребляется для обозначения невозмутимости, тихой равномерности или чрезмерно медленного движения, инертности)"
103,аалтаар,,0,noun,алтарь
111,аалыахтат,,0,verb,"двигаться очень медленно, толчками, делать что-либо чрезмерно медленно, как бы толчками"
112,аалык,,1,noun,"дышло (в собачьей упряжке), тяговый ремень через плечо, шлейка (в оленьей упряжке)"
114,аалыксый,,0,verb,"бледнеть, начинать вянуть (о растениях)"
115,аалыктаа,,0,verb,запрягать собак через дышло (собачье)
116,аалыктаах,,0,adj,с продолговатой светлой полоской (обычно о масти лошади)
117,аалыктан,,0,verb,иметь светлое пятно или полоску (обычно об оперении птицы)
125,аалыҥнаа,,0,verb,"двигаться медленно, как бы нехотя"
127,аалыҥнас,,2,adj,"очень многолюдный, оживленный (например, об улице, полной машин, народа)"
133,аалыылаах,,0,adj,"точеный, наточенный, острый"
134,аалыытыныы,,0,adv,"блестя, сверкая металлическим блеском (в сочет. со словами золото, серебро, металл образует одно связанное значение)"
135,аам,,0,interj,"выражает чувство большого удовлетворения, радости, довольства"
136,аамай,,0,noun,"беспорядочность, суматоха, суета"
137,аамайдаа,,0,verb,"приводить в беспорядок, перемешивать, перепутывать что-либо"
140,аамай-саамай,,0,adv,"собираясь толпой, скучиваясь"
141,аам-даам,,0,adj,"лютый, свирепый, студеный (эпитет зимней стужи)"
143,аам-дьаам,,2,noun,"что-либо крайне запутанное, беспорядочно разбросанное, раскиданное"
145,аам-саам,,0,adv,"тихо, неторопливо (например, приходить, уходить)"
147,аамчылаа,,0,verb,"относиться к кому-, чему-либо бережно, заботливо"
148,аамыйа,,0,adj,"хилый, с врожденным дефектом и не выживающий, урод, уродливый (о ребенке)"
149,аамыйалаа,,0,verb,"быть болезненным, хилым от рождения (о детях)"
150,аамылан,,0,verb,"впасть в беспокойство, встревожиться, засуетиться"
151,аамылан-саамылан,,0,verb,впадать в беспорядочное сумбурное состояние
152,аамылас,,0,verb,"шуметь беспорядочно, толпиться с невнятным шумом (обычно при скоплении народа)"
153,аамылас-саамылас,,0,verb,"всполошиться, затолпиться, заходить взад-вперед (например, чтобы определиться с местом, упорядочиться)"
154,аамы-саамы,,1,adv,"оживленно, всполошенно (зашевелиться, засуетиться)"
156,аан,,1,noun,"проем, отверстие, проход в строениях, ограждениях, предназначенное для входа, выхода, а также дверь, створ, ворота, жерди и тому подобное для закрытия этого отверстия"
160,аанай,,2,interj,"междометие, выражающее сильную досаду, смешанную с раздражением, возмущением"
161,аанайдаах,,0,adj,"страшный, гибельный, разрушительный"
163,аан-быдаан,,0,adj,"густой, непроницаемый (туман - во время зимней стужи)"
166,аан дойду,,0,noun,"место обитания человечества, мир"
169,ааннаа,,0,verb,"делать проход, проем, отверстие, дверь, повесить, навесить, приделать дверь, ворота"
174,аанньа,,2,adv,"хорошо, прилично, как подобает (употребляется с отриц-ой ф. гл. и в отриц-ных оборотах)"
177,аанньал,,0,noun,"посланец бога, ангел"
179,аанньалаах,,0,adj,"годный, путный, подходящий (о работе, изделиях и др.) употребляется в отрицательной форме и отриц. оборотах)"
180,аанньалаахтык,,0,adv,"хорошо, полноценно, как подобает (употребляется отриц. ф. гл., в отриц. оборотах)"
182,аанньаллыы,,0,adv,"по-ангельски, подобно ангелу"
187,аанньатык,,0,adv,"хорошенько, как следует (употребляется с отрицательной формой гл., в отрицательных оборотах)"
188,аанынааҕы,,0,adj,"находящийся у какой-либо двери, у входа (употребляется в определительных сочет.)"
190,ааҥнаа,,0,verb,"двигаться неудержимой лавиной, толпой (например, о стаде животных, массе людей), двигаться несокрушимой силой (например, о мощной технике)"
199,аара,,0,adv,"по пути, по дороге"
200,аараа,,0,verb,"делать кратковременную передышку, остановку, чтобы заняться делом или отдохнуть (обычно о путниках)"
201,аараан,,0,adj,"обширный и обжитой (о широких трактах, аласах и др.), шумный, бурный"
203,аарааҥҥы,,0,adj,"находящийся на пути, предстоящий в пути"
204,аараҕадый,,0,verb,"стареть, слабеть, дряхлеть"
206,аарай,,0,verb,"мешкать, задерживаться (отвлекаясь от дела)"
207,ааранан,,0,adv,"не имея прямого отношения, со стороны (быть втянутым во что-либо)"
208,аарас,,0,verb,тесно общаться с кем-либо
211,аараттан,,0,adv,"с пути, с полпути, с дороги, не окончив дорогу (например, сворачивать, возвращаться, присоединяться и др.)"
215,аарба,,0,noun,арба
216,аарбалыы,,0,adv,"подобно езде на арбе (тихо, медленно)"
217,аарбыйа,,0,noun,"шум, гомон от многолюдства (например, на рыбной ловле)"
218,аарбыйалаа,,0,verb,"собираться, скопляться в одном месте (о толпе людей)"
219,аарбыйалаах,,0,adj,"оглушительный, невообразимый (шум, грохот)"
220,аарбын,,0,noun,невысокая гора с каменистой вершиной
221,ааргы,,0,noun,"умственно отсталый, тупой, тупица, недоумок, глупец"
222,ааргытый,,0,verb,"впадать в состояние тупоумия, становиться безразличным, апатичным (от усталости, однообразных, неинтересных занятий, старости и др.)"
224,ааргытык,,0,adv,"глуповато, туповато, неуклюже (поступать, вести себя)"
225,ааргытыҥы,,0,adj,"туповатый, глуповатый, несообразительный, туповато, глуповато (ведущий себя)"
230,аарка,,0,noun,арка
231,ааркалыы,,0,adv,"в виде арки, аркообразно"
232,аар-маар,,0,adj,"бестолковый, тупой, тупица"
233,аармыйа,,0,noun,"вооруженные силы государства, армия, армейские военнослужащие (в совокупности)"
237,аарт-татай,,0,interj,"междометие, выражающее раздражение с оттенком удивления"
238,аартык,,0,noun,"большая проезжая дорога, тракт, столбовая дорога"
239,аартыктаа,,0,verb,ехать по горному перевалу
242,аарыгыр,,0,verb,"шуметь, греметь (например, о шуме большого города), издавать звонкие, раскатистые звуки"
246,аарыктаа,,0,verb,"украшать что-либо побрякушками, погремушками"
247,аарыктаах,,0,adj,"украшенный побрякушками, погремушками (например, узда, бубен, занавеска)"
248,аарыктаахтык,,0,adv,"величественно, помпезно"
250,аарыктый,,0,verb,иметь величественный вид (обычно о природе)
251,аарыма,,0,adj,"очень мощный, крупный, внушительных размеров"
252,аарыматый,,0,verb,"достичь почтенных лет, становиться матерым, матереть"
256,аас-арах,,0,verb,"проходить, исчезать, кончаться (употребляется в отрицательной форме или отриц. оборотах, обычно приобретает оттенок значение ""не оставлять в покое, присутствовать постоянно""- о чем-либо неприятном, тяжелом, мучающем)"
257,аас-аччык,,0,adj,"скудный продуктами питания, голодный (жизнь, время)"
260,ааспыт,,0,adj,"прошедший, прошлый"
261,аас-туор,,1,verb,"постоянно, длительно голодать (из-за нехватки продуктов питания)"
262,аас-туор,,2,adj,"бедный, скудный во всех отношениях (жизнь, время)"
263,аастый,,0,verb,"белеть, седеть, быть белым с желтоватым оттенком, стать изжелта-белым (обычно о волосах)"
264,аастыйбыт,,0,adj,"желтовато-светлый, приобретший, ставший изжелта-белым (обычно о волосах)"
269,ааһааччы,,0,noun,"проходящий, прохожий, проезжающий"
272,ааһардыы,,0,adv,"намереваясь (стремясь) пройти, проехать (делать что-либо)"
275,ааһымтыа,,0,adj,"скоропреходящий, проходящий"
283,аат,,1,noun,"слово, называющее предмет, понятие, явление, имя, название кого-, чего-либо"
284,аат,,2,noun,"ад, преисподняя"
287,аата,,3,interj,"выражает удивление, изумление с оттенком сетования, крайнего недовольства"
297,аат-суол,,0,noun,"личное имя (обычно понимается обобщенно или безотносительно к фамилии, отчеству, прозвищу)"
298,аат-сурах,,0,noun,"широкая известность, популярность (обычно заочная), дурная слава, скандальная известность"
299,ааттаа,,1,verb,"говорить, произносить название, имена предметов, явлений и так далее"
300,ааттаа,,2,verb,"молить, умолять, заклинать (часто со слезами)"
301,ааттаа-суоллаа,,0,verb,"звать, называть кого-, что-либо по имени"
304,ааттаах,,1,adj,"носящий имя, кличку, прозвище, именуемый, называемый"
307,ааттаах-суоллаах,,0,adj,"имеющий свое личное имя, нареченный"
308,ааттаахтык,,0,adv,"отлично, прекрасно (делать что-либо)"
311,ааттааччы,,0,noun,"тот, который просит, умоляет, задабривает"
312,ааттабыл,,0,noun,"усиленная прочувственная просьба, мольба"
315,ааттанааччы,,0,noun,"имеющий имя, название, именуемый, называющийся"
316,ааттан-суоллан,,0,verb,"получить широкую известность, иметь дурную славу, порочное имя"
317,ааттан-сурахтан,,0,verb,получить широкую известность (обычно заочно)
321,ааттас-көрдөс,,0,verb,"молить, умолять, умилостивлять мольбой"
322,ааттаспыттыы,,0,adv,"умоляюще, просяще"
323,ааттаһардыҥы,,0,adj,"просящий, умоляющий (обычно о взгляде, голосе)"
324,ааттаһардыы,,0,adv,"просяще, как бы прося, умоляя"
333,аат туолар,,0,interj,"обозначает досаду, раздражение, не довольство"
336,аатыгарын,,0,interj,"выражает чувство радости с оттенком удивления, изумления"
338,аатыр,,0,verb,"получать какое-либо имя, нарекаться"
340,аатырбыт,,0,adj,"широко прославившийся, знаменитый"
342,аатыр-суолур,,0,verb,"иметь, приобретать громкую славу, широкую известность"
343,аатыр-сураҕыр,,0,verb,"получать широкую известность, популярность (обычно заочно)"
350,аах,,1,verb,читать что-либо написанное
353,аахай,,0,verb,"обращать внимание, придавать значение чему-либо (обычно употребляется в отрицательной форме и отриц. оборотах)"
354,аахайбатахтык,,0,adv,"как бы не обращая внимания, не придавая значения"
355,аахайбатахтыы,,0,adv,"не обращая внимания, не придавая значения"
356,аахайбаттык,,0,adv,"как бы пренебрегая, не придавая значения"
358,аахайымтыа,,0,adj,"обращающий внимание, придающий значение (обычно употребляется в отрицательной форме и отриц. оборотах)"
360,аах-маах,,0,adv,"оглушенно, отупело (чувствовать себя - обычно от болезни, усталости, шума-гама, непривычной обстановки)"
367,аахсымтыа,,0,adj,"способный, склонный считаться, имеющий возможность считаться"
377,аах-чуох,,0,adv,"с дурной, неприглядной стороны, по-дурному (думать, вспоминать кого-либо)"
378,аба,,1,noun,"досада, раздражение"
381,абаансалаа,,0,verb,"выдавать аванс (авансы), авансировать"
382,абаансалааһын,,0,noun,"практика, организация авансирования"
387,абааһы-айыы,,0,noun,"злые и добрые сверхъестественные силы (по верованию), вера в злые и добрые сверхъестественные силы"
389,абааһылаах,,0,adj,"имеющий, по поверью, злого духа, черта, дьявола"
391,абааһылыы,,0,adv,"по-чертовски, по-дьявольски, подобно абасы"
392,абааһырҕаа,,0,verb,"обьяснять, приписывать что-либо проделками злых, сверхъестественных сил, абаасы"
393,абааһы-таҥара,,0,noun,"верования, религия"
394,абааһытый,,0,verb,"быть, становиться все более скверным, приобретать дурные качества"
395,абааһытык,,0,adv,"скверно, гадко, мерзко"
398,абаҕа,,1,noun,дядя (старший брат отца - независимо от пола говорящего)
402,абакка,,0,noun,"сильная досада, крайнее раздражение (обычно сопровождает эмоционально- аффективное выражение)"
403,абаккалаах,,0,adj,"крайне досадный, огорчительный, достойный сожаления"
405,абаккар,,0,verb,"гневно возмущаться, негодовать, иметь мстительную злобу против кого-либо"
406,абаккарбыттыы,,0,adv,"как бы негодуя, возмущаясь"
411,аба-кыһыы,,0,noun,крайняя досада
413,абалаах,,0,adj,"соленый, щелочной (о воде)"
415,абалаах-саталаах,,0,adj,"досадный, возмутительный"
416,абалаахтык,,0,adv,"досадно, обидно, зло"
417,абалаахтык-саталаахтык,,0,adv,"гневно возмущаясь, негодуя (делать что-либо)"
418,абаламмыттыы,,0,adv,"раздраженно, в досаде"
419,абаламмычча,,0,adv,"в сердцах, в раздражении"
421,абалан-саталан,,0,verb,"гневно возмущаться, быть полным досады и негодования"
427,абар,,0,verb,"чувствовать досаду, раздражение"
430,абарбыттыы,,0,adv,"в сердцах досадуя, с раздражением (делать что-либо)"
431,абарбыттыы-сатарбыттыы,,0,adv,"возмущенно, гневно возмущаясь"
432,абарбычча,,0,adv,"в раздражении, в пылу досады"
433,абар-сатар,,0,verb,"гневно возмущаться, быть полным негодования"
439,аба-сата,,0,noun,"гневное возмущение, негодование"
441,аба-сүттү,,0,interj, 
443,абатыгар,,0,adv,"с досады, со зла"
448,абзац,апсаас,0,noun,абзац
449,абитуриент,,0,noun,"поступающий в вуз, абитуриент"
450,абонемент,абаньымыан,0,noun,абонемент (библиотечный)
451,абонент,абаньыан,0,noun,абонент
452,абрикос,,0,noun,абрикос
456,абылаа,,0,verb,"околдовать, завораживать, зачаровывать кого-либо с помощью волшебства, колдовства"
457,абылааһын,,0,noun,"волшебство, чародейство"
460,абылаҥ,,0,noun,"притягательная сила, волшебная сила обаяния"
461,абылаҥнаах,,0,adj,"привораживающий, чарующий"
462,абылаҥнаахтык,,0,adv,"обворожительно, чарующе"
463,абылаппыттыы,,0,adv,"будто заколдован, зачарован"
464,абылат,,0,verb,"быть околдованным, заколдованным, зачарованным"
466,абылатыылаах,,0,adj,"покоряющий, пленяющий, имеющий чарующую силу"
467,абылахаан,,0,noun,олень-самец на втором году
468,абылыырдыы,,0,adv,"чарующе, пленяще, завораживающе (например, смотреть)"
469,абына-табына,,0,adv,"редко, негусто"
470,абыраа,,0,verb,"спасать, избавлять (от беды, гибели)"
471,абыраа-аһын,,0,verb,"проявляя жалость, стремиться спасать, избавлять (от беды, гибели)"
472,абырааһын,,0,noun,"большая помощь, услуга, выручка"
474,абырааччы,,0,noun,"спаситель, избавитель, тот, кто выручает в трудную минуту"
475,абырал,,0,noun,"спасение, избавление (от беды, гибели, обычно неожиданное)"
476,абыраллаах,,0,adj,спасительный
477,абыран,,0,verb,"спасаться, избавляться от беды (например, болезни), выходить из тяжелого положения"
480,абыратыы,,0,noun,"обездоленный бедняк, на содержание которого состоятельные родичи выделяли оленей"
481,абырах,,0,noun,"ремонт, починка"
482,абырахтаа,,0,verb,"чинить, починить, ремонтировать, восстанавливать что-либо"
483,абырахтааһын,,0,noun,"починка, ремонт, ремонтные работы"
484,абырахтаах,,0,adj,"имеющий починку, латаный, заплатанный"
489,абырҕал,,0,noun,хворост
490,абыр-табыр,,0,adv,"редко, местами, там и сям, разбросанно"
492,абытай,,0,interj,"выражает чувство сильной острой боли при ожогах, а также чувство сильной жары"
493,абытайдаа,,0,verb,"айкать, ойкать (от жары, какой-либо острой боли)"
494,абытайдаах,,0,adj,причиняющий острую нестерпимую боль
498,абыычай,,0,noun,"обычай, традиции"
499,авиапорт,,0,noun,авиапорт
500,авиация,абыйаассыйа,0,noun,"теория и практика воздухоплавания, авиация"
501,автобаза,,0,noun,автобаза
502,автобус,оптуобус,0,noun,автобус
504,автол,оптуол,0,noun,автол
506,агда,,0,noun,грудная клетка
509,агдака,,1,noun,"грудная клетка, грудная полость мелких животных, зверей"
514,агентство,ааҕыныстыба,0,noun,агентство
515,агроном,огурунуом,0,noun,агроном
516,агрономия,,0,noun,агрономия
517,агрономнаа,огурунуомнаа,0,verb,"быть, работать агрономом, внедрять агрономические знания в производство"
518,аҕа,,1,noun,отец (детей)
519,аҕаа,,0,verb,"смачивать, смазывать, увлажнять (слегка)"
521,аҕаамах,,0,adj,"легко воспринимающий, быстро и легко усваивающий что-либо"
525,аҕаан,,0,noun,"оселочный, точильный камень, брусок для направления лезвия косы"
526,аҕааннаа,,0,verb,"точить на оселке, направлять лезвие бруском, точильным камнем"
528,аҕабыыт,,0,noun,"священник, поп"
529,аҕабыыттаа,,0,verb,"причащаться к церковной службе, приглашать священника для отправления церковной службы (крещения, соборования и др.)"
530,аҕабыыттаах,,0,noun,"семья попа, священника, поповские"
533,аҕа-ийэ,,0,noun,родители
540,аҕал,,0,verb,"давать, подавать кого-, что-либо, кому-либо (говорящему, просящему)"
543,аҕаластаа,,0,verb,тяжело дышать от напряжения
551,аҕалыы,,1,adv,"отечески, по-отцовски (заботливо, сердобольно)"
553,аҕам,,0,adj,"в возрасте, пожилой"
554,аҕамсах,,0,adj,"привязанный к отцу, любящий, предпочитающий отца (о ребенке, детях)"
555,аҕамсый,,0,verb,"быть в летах, становиться пожилым"
556,аҕамсыйбыт,,0,adj,"немолодой, пожилой"
557,аҕамсыт,,0,verb,признавать кого-либо старше себя (по возрасту)
562,аҕарҕаа,,0,verb,"питать нежное теплое чувство к отцу, испытывать сыновнюю (дочернюю) любовь"
565,аҕас,,0,noun,старшая сестра
566,аҕас-балыс,,0,noun,сестры (обычно о двух родных сестрах)
567,аҕас-балыстыы,,0,noun,родные (сестры)
574,аҕый,,1,verb,"стареть, стать немощным от старости"
576,аҕыйаа,,0,verb,"становиться меньше, уменьшаться (в количестве, массе)"
577,аҕыйааһын,,0,noun,"уменьшение, истощение, оскудение, обеднение, ослабление чего-либо"
580,аҕыйах,,0,adj,"малочисленный, немногочисленный, незначительный, несколько, мало (неопределенное в количественном отношении имя, имеющее противоположное значение слову ""много"")"
581,аҕыйахта,,0,adv,"малочисленно, незначительно, несколько (незначительное количество) раз"
582,аҕыйахтык,,0,adv,"немного, незначительно, мало"
586,аҕыл,,0,adj,"легко увлекающийся чем-либо по новизне, но быстро остывающий"
587,аҕылаа,,0,verb,"запыхаться, тяжело дышать (от напряжения, болезни)"
589,аҕылаа-мэҥилээ,,0,verb,"тяжело запыхаться, дышать с трудом (от напряжения, сильной спешки)"
591,аҕылаа-тыгылаа,,0,verb,"тяжело запыхаться, тяжело, с трудом дышать."
600,аҕыллайдаа,,0,verb,"проявлять излишнюю расторопность, бегать, суетиться, угождая кому-либо"
602,аҕымар,,0,adj,"молочная, дойная (много лет подряд - о крупном рогатом скоте)"
603,аҕын,,1,verb,"скучать, тосковать по ком-чем-либо (например, по близким, родным, родным местам)."
604,аҕын,,2,verb,"тужиться во время родов (о животных, обычно о корове)"
606,аҕын-боҕун,,0,verb,испытывать длительные предродовые муки
608,аҕынньы,,0,noun,"состояние стойкости или нестойкости к дурному вкусу, запаху, тошноте"
610,аҕынньырдаа,,0,verb,почувствовать позыв к рвоте
611,аҕын-санаа,,0,verb,"скучать, тосковать по ком-чем-либо, постоянно думать о ком-чем-либо"
613,аҕыр,,0,verb,"горкнуть, прогоркнуть (о вкусе масла, жира, рыбы и некоторых др. продуктов от долгого хранения)"
614,аҕыраа,,0,verb,"постепенно уменьшаясь, ослабевая, исчезать, свестись на нет"
615,аҕыраада,,0,noun,"решетчатая ограда вокруг какого-либо строения, сооружения (обычно вокруг церквей, часовень)"
616,аҕыраадалаах,,0,adj,"обнесенный оградой, огражденный"
620,аҕырый,,0,verb,"постепенно ослабевая, затухать (о действии, силе чего-либо)"
622,аҕырым,,1,noun,"прекращение, приостановка действия чего-либо"
623,аҕырым,,2,noun,"раннее осеннее похолодание, осенний холодный ветер (после чего обычно наступает потепление)"
624,аҕырымнаа,,0,verb,"временно, на некоторое время приостанавливаться, прекращаться (о сильном действии чего-либо, например, стихийных сил природы)"
628,аҕырыыр,,0,adj,"уменьшающийся, ослабевающий и исчезающий (обычно употребляется в отрицательной форме и отриц. оборотах)"
631,аҕыстаах,,0,adj,восьмилетний
637,аҕыһын-боҕуһун,,0,verb,"еле двигаться, с трудом передвигаться, задерживаться, мешкать, медлить"
639,аҕытаассыйалаа,,0,verb,проводить агитационную работу среди населения
640,аҕытаатар,,0,noun,"тот, кто ведет агитацию среди населения"
641,аҕытаатардаа,,0,verb,"заниматься распространением новостей, текущей политики среди трудовых коллективов (обычно временно)"
643,адаа-быдаа,,0,adv,"в разные стороны, беспорядочно (торчать - например, о ветвях, буреломах)"
645,адаалаах,,0,adj,"труднопроходимое, закочкаренное"
646,адаалас,,0,verb,"противостоять, противоборствовать, вступать в поединок"
647,адаар,,0,adj,"торчащие в разные стороны, как бы разбросанные во все стороны (например, о ветвях деревьев), торчащий множеством остроконечных пиков (о цепи гор)"
648,адаар-будаар,,0,adj,"нагроможденный, хаотически беспорядочный, труднопроходимый"
649,адаар-быдаар,,0,adj,"торчащий, разбросанный в разные стороны"
650,адаардаах,,0,adj,"предстающий перед взором многочисленными гребнями, пиками, зубьями (например, скалы, пики, неровный лес)"
651,адаардан,,0,verb,"приобретать, получать вздыбленный или беспорядочно разбросанный, торчащий неровными зубцами вид"
659,адаарыҥнас,,2,adj,"бросающийся в глаза своей многочисленностью (например, о движущейся толпе)"
665,адаарыһыы,,0,noun,"раздоры, распри"
667,адаарыччы,,0,adv,"стоймя, торчком (неровно расположиться)"
668,адаҕа,,0,noun,"деревянные колодки, надеваемые на ноги лошади"
669,адаҕалаа,,0,verb,надевать колодку на ноги лошади
670,адаҕалаах,,0,adj,носящий колодку (о лошади)
671,адаҕаламмыттыы,,0,adv,"очень медленно, с большим трудом (передвигаться)"
675,адаҕыйааччы,,0,noun,"тот, кто своим приходом доставляет хозяевам большие хлопоты, неудобства"
680,адалҕа,,0,noun,"железный инструмент с деревянной ручкой из дерева (обычно для выделки чаш - кытыйа, кытах)"
681,адаҥ-бодоҥ,,0,adj,"болезненный, слабый, немощный"
688,адарай,,0,noun,"дощатый или из жердей настил (обычно на санях, на нарах)"
689,адарайдаах,,0,adj,имеющий деревянный настил
692,адарҕана,,0,adj,заросшая труднопроходимым кочкарником (местность)
695,адвокат,албакаат,0,noun,адвокат
700,адырҕай,,0,noun,"труднопроходимое бугристое, заросшее высокими кочками место, кочкарник с рытвинами, ухабами, покрытое травой, кустарником"
701,адырҕайдан,,0,verb,"быть очень не ровным, с бугорками, рытвинами, ухабами (о дороге)"
702,адырҕаннаах,,0,adj,"тревожный, бедственный (обычно употребляется в составе постоянных эпитетов)"
703,адырхай,,0,adj,"заросший высокими кочками, кустарниками, труднопроходимый"
704,адырый,,0,verb,"быть взъерошенным, торчать в разные стороны, раскидывать густые длинные ветви"
707,адырыччы,,0,adv,"взъерошенно, дыбом, торчком (расти - например, о волосах)"
708,адырыын,,0,noun,"отросток, бугорчатость"
712,адьас,,1,adv,"совсем, вовсе, совершенно"
716,адьыгырат,,0,verb,"писать крупным, броским почерком"
721,адьынаттан,,0,verb,"иметь дурную привычку, дурные наклонности"
723,адьыр-будьур,,0,adj,"кудрявый, курчавый, пышный, с густыми кронами (о деревьях)"
724,адьырҕа,,0,noun,"большой хищный зверь, хищник"
727,адьырҕалыы,,0,adv,"хищнически, по-хищному"
728,адьырҕатый,,0,verb,"стать чрезвычайно опасным, проявлять повадки опасного хищника (особенно по отношению к человеку, например, о раненой медведице)"
729,адьырҕатык,,0,adv,"хищно, люто, свирепо (смотреть, вести себя)"
736,адьырыһыннар,,0,verb,"побуждать кого-либо сильно поссориться, схватиться с кем-либо"
737,адьырыһыы,,0,noun,"схватка, столкновение, бурная ссора"
738,адьырыт,,0,verb,ставить дыбом (о шерсти свирепых хищников)
739,адьырыччы,,0,adv,"взъерошенно, дыбом (подняться -например, о шерсти разъяренных зверей), буграми, неровностями (выступать)"
740,адьырыччы-будьуруччу,,0,adv,"взлохмаченно, взъерошенно, густыми, обильными буграми (показываться, выступать)"
741,ай,,1,verb,"творить, создавать"
744,айа,,1,noun,"самострел (охотничий снаряд-ловушка на лосей, зайцев и др. животных)"
745,айа,,2,interj,"по ситуации разговора, от темперамента говорящего, характера, интенсивности раздражения употребляется в различных формах, соответственно могут менять оттенки выражаемых чувств, иногда может принимать притяжательный аффикс, сочетаться с другими междометиями, служебными словами, часто употребляется в удвоенно- повторном виде"
746,айаа,,1,verb,"поступать, действовать, вести себя своенравно, независимо"
747,айаа,,2,noun,"гулкий протяжный рев (обычно о быке, изюбре)"
748,айаа-буйаа,,0,verb,"держать себя своевольно, кричать-шуметь, чувствовать себя свободно"
749,айаам-сайаам,,0,adj,"очень просторный, прохладный, со свежим воздухом (например, открытая местность, дом)"
750,айаан,,1,noun,"заросшее кустарником старое русло реки, соединяющееся с рекой в половодье, долина реки у устья"
751,айаан,,2,noun,"раскатистый, притяжный рев (например, быка)"
752,айааннаах,,0,adj,"очень шумный, оживленный (обычно о больших трактовых дорогах)"
753,айаар,,0,verb,"громко кричать, петь, горланить, шуметь, реветь"
758,айаас,,0,adj,"необъезженный, неприученный к седлу или упряжке (скот)"
759,айаастыҥы,,0,adj,"недостаточно объезженный, норовистый"
760,айааһаа,,0,verb,"приучать к седлу или упряжке, объездить"
762,айааһааччы,,0,noun,объездчик (лошадей)
766,айаатаа,,0,verb,"гулко, протяжно реветь (например, о быке, изюбре)"
772,айааччы,,0,noun,"творец, создатель нового, творческий работник"
773,айаҕа,,0,noun,"загородь, засека для ловли оленей, лосей и др"
774,айаҕалаа,,0,verb,"бахваляясь, браться за непосильное дело"
775,айаҕалан,,0,verb,"бахваляться, хвалиться, много говорить о себе, давать несерьезные обещания, говорить, сообщать о чем-либо (беззастенчиво, нескромно)"
782,айаҕынааҕы,,0,adj,"находящийся у входа (отверстия, двери) чего-либо"
784,айа-дьойо,,0,interj,"междометное слово, служит эквивалентом слов со значением “заболел”, “смертельно устал”, обычно входит в группу наречных образований"
